id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,E,F,C,classe
1,3,3,3,2,2,2,3,3,3,3,4,5,4,4,4,4,83,7,5,2.6,2.8,4.17,Ouvinte Contextual
2,4,4,5,4,4,2,2,3,2,1,2,2,3,3,3,4,89,6,6,4.2,2.0,2.83,Explorador Musical
3,2,3,2,3,3,2,3,3,2,2,4,4,4,4,5,4,64,7,5,2.6,2.4,4.17,Ouvinte Contextual
4,5,5,4,5,3,2,2,2,2,3,3,2,2,3,4,4,187,5,6,4.4,2.2,3.0,Explorador Musical
5,3,3,4,3,4,2,3,3,3,2,2,2,3,3,4,3,129,6,3,3.4,2.6,2.83,Explorador Musical
6,3,4,5,3,5,2,3,3,2,2,3,3,3,2,2,3,147,7,5,4.0,2.4,2.67,Explorador Musical
7,3,3,4,3,3,4,3,4,3,2,3,5,5,4,4,5,61,5,5,3.2,3.2,4.33,Ouvinte Contextual
8,4,4,4,4,5,3,3,1,3,2,2,2,3,4,2,3,85,5,5,4.2,2.4,2.67,Explorador Musical
9,4,3,4,3,2,3,3,3,2,3,4,5,5,4,4,3,77,7,6,3.2,2.8,4.17,Ouvinte Contextual
10,2,2,2,3,2,2,2,3,2,2,5,3,4,5,5,4,83,4,5,2.2,2.2,4.33,Ouvinte Contextual
11,4,2,3,3,3,3,3,2,3,3,4,4,5,5,4,5,96,6,3,3.0,2.8,4.5,Ouvinte Contextual
12,3,3,4,4,3,4,3,5,4,4,2,3,3,2,2,3,86,7,3,3.4,4.0,2.5,Fã Fiel
13,4,4,4,5,2,2,3,3,2,1,3,4,2,4,3,3,68,4,7,3.8,2.2,3.17,Explorador Musical
14,3,4,3,3,4,4,5,4,4,4,3,2,3,3,3,3,139,5,4,3.4,4.2,2.83,Fã Fiel
15,3,4,3,4,5,3,2,2,3,2,3,3,4,3,2,3,102,7,7,3.8,2.4,3.0,Explorador Musical
16,3,4,5,3,5,3,3,2,3,3,3,3,3,3,3,3,111,7,6,4.0,2.8,3.0,Explorador Musical
17,3,4,5,3,3,3,3,3,3,3,4,3,4,3,2,4,86,6,7,3.6,3.0,3.33,Explorador Musical
18,1,2,1,2,3,5,4,3,3,4,2,3,3,3,3,3,100,4,2,1.8,3.8,2.83,Fã Fiel
